Smoke,SES
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
former,High
current,High
current,High
current,High
current,High
current,High
current,High
current,High
current,High
current,High
current,High
current,High
current,High
current,High
current,High
current,High
current,High
current,High
current,High
current,High
current,High
current,High
current,High
current,High
current,High
current,High
current,High
current,High
current,High
current,High
current,High
current,High
current,High
current,High
current,High
current,High
current,High
current,High
current,High
current,High
current,High
current,High
current,High
current,High
current,High
current,High
current,High
current,High
current,High
current,High
current,High
current,High
never,High
never,High
never,High
never,High
never,High
never,High
never,High
never,High
never,High
never,High
never,High
never,High
never,High
never,High
never,High
never,High
never,High
never,High
never,High
never,High
never,High
never,High
never,High
never,High
never,High
never,High
never,High
never,High
never,High
never,High
never,High
never,High
never,High
never,High
never,High
never,High
never,High
never,High
never,High
never,High
never,High
never,High
never,High
never,High
never,High
never,High
never,High
never,High
never,High
never,High
never,High
never,High
never,High
never,High
never,High
never,High
never,High
never,High
never,High
never,High
never,High
never,High
never,High
never,High
never,High
never,High
never,High
never,High
former,Middle
former,Middle
former,Middle
former,Middle
former,Middle
former,Middle
former,Middle
former,Middle
former,Middle
former,Middle
former,Middle
former,Middle
former,Middle
former,Middle
former,Middle
former,Middle
former,Middle
former,Middle
former,Middle
former,Middle
former,Middle
current,Middle
current,Middle
current,Middle
current,Middle
current,Middle
current,Middle
current,Middle
current,Middle
current,Middle
current,Middle
current,Middle
current,Middle
current,Middle
current,Middle
current,Middle
current,Middle
current,Middle
current,Middle
current,Middle
current,Middle
current,Middle
current,Middle
never,Middle
never,Middle
never,Middle
never,Middle
never,Middle
never,Middle
never,Middle
never,Middle
never,Middle
former,Low
former,Low
former,Low
former,Low
former,Low
former,Low
former,Low
former,Low
former,Low
former,Low
former,Low
former,Low
former,Low
former,Low
former,Low
former,Low
former,Low
former,Low
former,Low
former,Low
former,Low
former,Low
former,Low
former,Low
former,Low
former,Low
former,Low
former,Low
current,Low
current,Low
current,Low
current,Low
current,Low
current,Low
current,Low
current,Low
current,Low
current,Low
current,Low
current,Low
current,Low
current,Low
current,Low
current,Low
current,Low
current,Low
current,Low
current,Low
current,Low
current,Low
current,Low
current,Low
current,Low
current,Low
current,Low
current,Low
current,Low
current,Low
current,Low
current,Low
current,Low
current,Low
current,Low
current,Low
current,Low
current,Low
current,Low
current,Low
current,Low
current,Low
current,Low
never,Low
never,Low
never,Low
never,Low
never,Low
never,Low
never,Low
never,Low
never,Low
never,Low
never,Low
never,Low
never,Low
never,Low
never,Low
never,Low
never,Low
never,Low
never,Low
never,Low
never,Low
never,Low
