Name,Warm-blooded,Gives Birth,Aquatic Creature,Aerial Creature,Has Legs,Hibernates,Class
human,1,1,0,0,1,0,mammals
python,0,0,0,0,0,1,reptiles
salmon,0,0,1,0,0,0,fishes
whale,1,1,1,0,0,0,mammals
frog,0,0,1,0,1,1,amphibians
komodo,0,0,0,0,1,0,reptiles
bat,1,1,0,1,1,1,mammals
pigeon,1,0,0,1,1,0,birds
cat,1,1,0,0,1,0,mammals
leopard shark,0,1,1,0,0,0,fishes
turtle,0,0,1,0,1,0,reptiles
penguin,1,0,1,0,1,0,birds
porcupine,1,1,0,0,1,1,mammals
eel,0,0,1,0,0,0,fishes
salamander,0,0,1,0,1,1,amphibians
